epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.175,0.37585,0.997,1,0.00861,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048
2,218.598,0.05684,0.99925,1,0.00264,0.0197935,0.00659784,0.0197935,0.00659784,0.0197935,0.00659784,0.0197935,0.00659784
3,322.815,0.03974,0.99775,1,0.00342,0.0293976,0.00979921,0.0293976,0.00979921,0.0293976,0.00979921,0.0293976,0.00979921
4,426.946,0.04186,1,1,0.00069,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,530.673,0.02984,0.99625,1,0.0043,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,634.221,0.02661,1,1,0.00105,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,738.232,0.02543,1,1,0.00126,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,841.108,0.02103,0.99925,1,0.00115,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,944.946,0.02093,1,1,0.00022,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1048.18,0.02148,0.99925,1,0.00195,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1151.75,0.02107,1,1,0.00052,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1255,0.02059,1,1,0.00076,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1358.62,0.02015,1,1,8e-05,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1462.22,0.02069,0.99925,1,0.00415,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1566.06,0.01823,1,1,0.00015,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1670.01,0.01904,1,1,7e-05,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1774.03,0.01672,0.99925,1,0.00056,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1877.9,0.01894,1,1,2e-05,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1981.98,0.01997,1,1,1e-05,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2086.28,0.01876,1,1,1e-05,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2190.84,0.01898,1,1,1e-05,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2295.06,0.017,1,1,1e-05,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2400.43,0.02024,1,1,2e-05,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2504.34,0.0166,1,1,3e-05,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2608.76,0.01701,1,1,2e-05,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2712.89,0.01666,1,1,6e-05,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2817.5,0.01569,1,1,4e-05,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2921.58,0.01721,1,1,4e-05,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3025.95,0.01912,1,1,4e-05,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3130.33,0.01541,1,1,4e-05,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3234.55,0.01724,1,1,4e-05,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3339.76,0.01769,1,1,3e-05,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3443.9,0.01293,1,1,2e-05,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3548.84,0.01797,1,1,2e-05,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3653.96,0.01553,1,1,1e-05,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
